,timestamp,equity,profit_loss,profit_loss_pct,base_value,base_value_asof,timeframe
0,1713589200,99999.97,-0.03,0.0,100000.0,2024-04-18,5Min
1,1713589500,99999.97,-0.03,0.0,100000.0,2024-04-18,5Min
2,1713589800,99999.45,-0.55,0.0,100000.0,2024-04-18,5Min
3,1713590100,99999.28,-0.72,0.0,100000.0,2024-04-18,5Min
4,1713590400,99999.18,-0.82,0.0,100000.0,2024-04-18,5Min
5,1713590700,99999.3,-0.7,0.0,100000.0,2024-04-18,5Min
6,1713591000,99999.51,-0.49,0.0,100000.0,2024-04-18,5Min
7,1713591300,99999.51,-0.49,0.0,100000.0,2024-04-18,5Min
8,1713591600,99999.87,-0.13,0.0,100000.0,2024-04-18,5Min
9,1713591900,99999.95,-0.05,0.0,100000.0,2024-04-18,5Min
10,1713592200,99999.78,-0.22,0.0,100000.0,2024-04-18,5Min
11,1713592500,99999.78,-0.22,0.0,100000.0,2024-04-18,5Min
12,1713592800,99999.72,-0.28,0.0,100000.0,2024-04-18,5Min
13,1713593100,99999.44,-0.56,0.0,100000.0,2024-04-18,5Min
14,1713593400,99999.17,-0.83,0.0,100000.0,2024-04-18,5Min
15,1713593700,99998.97,-1.03,0.0,100000.0,2024-04-18,5Min
16,1713594000,99999.35,-0.65,0.0,100000.0,2024-04-18,5Min
17,1713594300,99999.52,-0.48,0.0,100000.0,2024-04-18,5Min
18,1713594600,99999.58,-0.42,0.0,100000.0,2024-04-18,5Min
19,1713594900,99999.69,-0.31,0.0,100000.0,2024-04-18,5Min
20,1713595200,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
21,1713595500,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
22,1713595800,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
23,1713596100,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
24,1713596400,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
25,1713596700,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
26,1713597000,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
27,1713597300,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
28,1713597600,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
29,1713597900,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
30,1713598200,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
31,1713598500,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
32,1713598800,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
33,1713599100,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
34,1713599400,99999.79,-0.21,0.0,100000.0,2024-04-18,5Min
35,1713599700,99999.47,-0.53,0.0,100000.0,2024-04-18,5Min
36,1713600000,99999.48,-0.52,0.0,100000.0,2024-04-18,5Min
37,1713600300,99999.43,-0.57,0.0,100000.0,2024-04-18,5Min
38,1713600600,99998.71,-1.29,0.0,100000.0,2024-04-18,5Min
39,1713600900,99999.04,-0.96,0.0,100000.0,2024-04-18,5Min
40,1713601200,99999.03,-0.9700000000011642,1.0,100000.0,2024-04-18,5Min
41,1713601500,99999.04000000001,-0.9600000000064028,1.0,100000.0,2024-04-18,5Min
42,1713601800,99999.04000000001,-0.9600000000064028,1.0,100000.0,2024-04-18,5Min
43,1713602100,99998.85999999999,-1.139999999999418,1.0,100000.0,2024-04-18,5Min
44,1713602400,99998.85,-1.1499999999941792,1.0,100000.0,2024-04-18,5Min
45,1713602700,99999.01000000001,-0.9900000000052387,1.0,100000.0,2024-04-18,5Min
