,trade,price,time,log
0,initialize,0.0,1713575618.0094624,initialize at 0.0 at 1713575618.0094624
1,initialize,0.0,1713569476.2225442,initialize at 0.0 at 1713569476.2225442
2,initialize,0.0,1713569388.9837892,initialize at 0.0 at 1713569388.9837892
3,sell,64481.67,1713564671.7107592,sell at 64481.67 at 1713564671.7107592
4,sell,64481.67,1713564732.1850514,sell at 64481.67 at 1713564732.1850514
5,sell,64481.67,1713564792.6721146,sell at 64481.67 at 1713564792.6721146
6,buy,64328.42,1713565278.289673,buy at 64328.42 at 1713565278.289673
7,sell,63991.7,1713570391.1720624,sell at 63991.7 at 1713570391.1720624
8,sell,63991.7,1713570452.1393242,sell at 63991.7 at 1713570452.1393242
9,sell,63991.7,1713570512.791005,sell at 63991.7 at 1713570512.791005
10,sell,63991.7,1713570573.3766756,sell at 63991.7 at 1713570573.3766756
11,sell,63991.7,1713570633.9693124,sell at 63991.7 at 1713570633.9693124
12,buy,63801.9,1713570999.7008443,buy at 63801.9 at 1713570999.7008443
13,buy,63801.9,1713571061.5820713,buy at 63801.9 at 1713571061.5820713
14,buy,63751.21,1713571305.62342,buy at 63751.21 at 1713571305.62342
15,buy,63718.24,1713572217.2341778,buy at 63718.24 at 1713572217.2341778
16,buy,63521.95,1713574344.3543794,buy at 63521.95 at 1713574344.3543794
17,buy,63521.95,1713574407.0229156,buy at 63521.95 at 1713574407.0229156
18,buy,63521.95,1713574469.212945,buy at 63521.95 at 1713574469.212945
19,buy,64078.66,1713589560.4262116,buy at 64078.66 at 1713589560.4262116
20,buy,64078.66,1713589622.4253047,buy at 64078.66 at 1713589622.4253047
21,buy,64078.66,1713589684.52109,buy at 64078.66 at 1713589684.52109
22,buy,64052.25,1713589868.0768907,buy at 64052.25 at 1713589868.0768907
23,buy,64021.6,1713593510.4137793,buy at 64021.6 at 1713593510.4137793
24,sell,64067.17,1713593814.441763,sell at 64067.17 at 1713593814.441763
25,sell,64067.17,1713593875.8324351,sell at 64067.17 at 1713593875.8324351
26,sell,64075.15,1713594119.2070377,sell at 64075.15 at 1713594119.2070377
27,sell,64101.78,1713594726.39528,sell at 64101.78 at 1713594726.39528
28,sell,64105.76,1713595031.0316656,sell at 64105.76 at 1713595031.0316656
29,buy,63983.68,1713599580.0840552,buy at 63983.68 at 1713599580.0840552
30,buy,63983.68,1713599642.003051,buy at 63983.68 at 1713599642.003051
31,buy,63907.97,1713600492.1494834,buy at 63907.97 at 1713600492.1494834
32,buy,63907.97,1713600553.9955642,buy at 63907.97 at 1713600553.9955642
33,buy,63907.97,1713600615.8483963,buy at 63907.97 at 1713600615.8483963
34,buy,63873.25,1713602021.562284,buy at 63873.25 at 1713602021.562284
35,sell,63923.63,1713602629.2563822,sell at 63923.63 at 1713602629.2563822
36,buy,63802.37,1713602933.6858501,buy at 63802.37 at 1713602933.6858501
37,buy,63802.37,1713602995.5521266,buy at 63802.37 at 1713602995.5521266
38,buy,63802.37,1713603057.4775414,buy at 63802.37 at 1713603057.4775414
39,buy,63777.88,1713603240.8143325,buy at 63777.88 at 1713603240.8143325
40,buy,63747.93,1713603545.405765,buy at 63747.93 at 1713603545.405765
41,buy,63621.06,1713603849.8703215,buy at 63621.06 at 1713603849.8703215
42,buy,63621.06,1713603911.7022116,buy at 63621.06 at 1713603911.7022116
43,buy,63621.06,1713603973.6613958,buy at 63621.06 at 1713603973.6613958
44,buy,63621.06,1713604035.5285795,buy at 63621.06 at 1713604035.5285795
45,sell,63620.36,1713605069.6032038,sell at 63620.36 at 1713605069.6032038
46,sell,63620.36,1713605130.1362348,sell at 63620.36 at 1713605130.1362348
47,sell,63644.78,1713605675.8338392,sell at 63644.78 at 1713605675.8338392
48,sell,63667.69,1713605978.9693773,sell at 63667.69 at 1713605978.9693773
49,buy,63358.78,1713606586.5730605,buy at 63358.78 at 1713606586.5730605
50,buy,63358.78,1713606648.4924576,buy at 63358.78 at 1713606648.4924576
51,buy,63358.78,1713606710.3285117,buy at 63358.78 at 1713606710.3285117
52,buy,63358.78,1713606772.2774186,buy at 63358.78 at 1713606772.2774186
53,buy,63358.78,1713606834.1547306,buy at 63358.78 at 1713606834.1547306
54,sell,63632.44,1713607198.764684,sell at 63632.44 at 1713607198.764684
